ANTECO_SP,Negros_shrimp_farm,NSF_ANTECO_PR
0.320228867,0.129716322,0.29954166
0.415876979,0.139201632,0.389010778
0.446490375,0.143602305,0.417646509
0.438573871,0.150527483,0.410241422
0.401340521,0.173100828,0.375413395
0.302456219,0.123303002,0.282917149
0.169181378,0.097363057,0.158252038
0.079461789,0.048420959,0.074328452
0.001556697,0.003077273,0.001456132
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.001003378,0.000117038,0.000938558
0.055495194,0.057508186,0.051910131
0.154700956,0.141522468,0.14470707
0.349853783,0.225870763,0.327252768
0.297422399,0.29974335,0.278208521
0.170076732,0.317066585,0.159089551
0.288548059,0.324390161,0.269907474
0.40057537,0.295611255,0.374697673
0.340443185,0.263865797,0.318450107
0.491679044,0.200159076,0.45991593
0.222024244,0.100319541,0.207681185
0.043571486,0.007562499,0.040756711
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.005627356,0.000165172,0.005263822
0.126349193,0.089492939,0.118186869
0.277011432,0.083869205,0.259116129
0.422290052,0.094165965,0.395009558
0.589174321,0.129525053,0.551112884
0.628056153,0.226563718,0.587482898
0.728706273,0.343913143,0.681630888
0.568865003,0.400698644,0.532115575
0.495691649,0.522232883,0.463669315
0.428249625,0.488255958,0.400584136
0.203567398,0.269813581,0.190416676
0.02253533,0.043336348,0.021079518
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.000848476,0.000179003,0.000793663
0.01291051,0.067201647,0.012076474
0.028615447,0.201699659,0.026766852
0.076527533,0.249607212,0.071583754
0.053088028,0.347228099,0.049658472
0.363909626,0.385525084,0.340400585
0.284541778,0.381231239,0.266160004
0.799397596,0.349913882,0.747755459
0.711892168,0.268818439,0.665902996
0.469669891,0.161160851,0.439328598
0.259760982,0.077222725,0.24298008
0.044921276,0.0022554,0.042019303
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.00532637,0.000199087,0.00498228
0.161980259,0.060333829,0.151516121
0.344332237,0.183657725,0.322087921
0.453748371,0.388368161,0.424435629
0.546213765,0.374164576,0.510927636
0.542789123,0.284466763,0.507724231
0.538665776,0.393062317,0.503867258
0.457579202,0.472622053,0.428018983
0.429872972,0.411538512,0.402102612
0.261018365,0.50428965,0.244156235
0.114361076,0.262397202,0.1069732
0.001680409,0.057479349,0.001571852
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.008451174,0.001263745,0.007905217
0.173728666,0.13236438,0.162505565
0.399385273,0.287289391,0.373584459
0.521966104,0.309084737,0.488246407
0.630212255,0.510287768,0.589499714
0.721810414,0.675643657,0.675180511
0.761567325,0.550290075,0.712369072
0.694820913,0.57354353,0.649934567
0.581026372,0.594010271,0.543491303
0.413381593,0.477229174,0.386676598
0.222475137,0.216143902,0.20810295
0.014876954,0.015615271,0.013915883
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.002825973,0.000171854,0.002643412
0.075722259,0.055095726,0.070830501
0.131951339,0.145331797,0.123427108
0.185251164,0.262127785,0.173283695
0.213343797,0.337747245,0.199561507
0.205805254,0.386564007,0.192509964
0.292416129,0.374415721,0.273525662
0.279184689,0.322656789,0.261148991
0.193027368,0.257505407,0.180557546
0.13678471,0.190290259,0.127948238
0.078213458,0.094745146,0.073160765
0.001644716,0.007605925,0.001538466
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.009378573,0.000164664,0.008772705
0.21374943,0.00933283,0.199940935
0.46175298,0.040763974,0.43192313
0.633805778,0.247712038,0.59286109
0.755846959,0.269969039,0.70701825
0.799398465,0.520175225,0.747756271
0.799396999,0.470096447,0.7477549
0.762223851,0.809105971,0.712983186
0.655054611,0.714492218,0.61273722
0.480151673,0.493119205,0.449133243
0.257934472,0.29482138,0.241271566
0.017026106,0.06082482,0.015926198
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.009403279,0.001913691,0.008795815
0.216142624,0.162097821,0.202179526
0.42879807,0.384700605,0.40109715
0.604706479,0.558609318,0.565641645
0.711637624,0.674862958,0.665664896
0.766123814,0.732415789,0.716631207
0.764720322,0.737953037,0.715318382
0.740504147,0.711488178,0.692666604
0.638285128,0.603322034,0.597051068
0.46843197,0.443196672,0.438170648
0.259655696,0.250388986,0.242881596
0.021399022,0.023135401,0.020016617
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.008774989,0.000130173,0.008208113
0.203998844,0.09176719,0.19082025
0.400023913,0.257107953,0.374181841
0.576894882,0.35860355,0.539626713
0.667956593,0.474214386,0.624805718
0.712194862,0.585486285,0.666186136
0.738541952,0.664882174,0.690831169
0.701165179,0.590459375,0.655868985
0.586036957,0.493734222,0.548178198
0.419956327,0.356608547,0.392826596
0.229643237,0.239952969,0.214807982
0.020902203,0.033520748,0.019551893
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.002429859,0.000560526,0.002272887
0.124181202,0.181992487,0.116158932
0.322083198,0.336309323,0.301276199
0.542247953,0.469368441,0.507218022
0.671828491,0.600120329,0.628427486
0.675978709,0.572768074,0.632309594
0.622319664,0.626469316,0.582116994
0.734967863,0.517379074,0.687487971
0.576560322,0.541625574,0.539313766
0.336176091,0.402761022,0.314458672
0.145563183,0.247804736,0.136159609
0.002540962,0.00792257,0.002376813
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.001585691,0.002595284,0.001483253
0.076607428,0.179152163,0.071658487
0.156805216,0.403248107,0.146675393
0.212479589,0.589745526,0.198753127
0.295616844,0.728161005,0.276519606
0.297084826,0.789853272,0.277892755
0.278447712,0.790887737,0.260459623
0.285253919,0.753597429,0.266826141
0.204311798,0.654870718,0.191112987
0.144916428,0.493958364,0.135554636
0.067160045,0.278666572,0.062821418
0.001986332,0.029301618,0.001858012
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.009999834,0.002406638,0.009353831
0.223279822,0.177100953,0.208855651
0.442236961,0.391182662,0.413667871
0.617806712,0.591037428,0.577895585
0.741776377,0.716746493,0.693856646
0.799400039,0.794103599,0.747757744
0.799397108,0.80756974,0.747755002
0.749493681,0.757486768,0.701075402
0.632378401,0.646678621,0.591525923
0.459909778,0.475353975,0.430199001
0.247452175,0.259818824,0.231466438
0.017688811,0.023322847,0.016546091
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
